MOVIE_ID,THREE,FOUR,FIVE
23341,9,6,54
82756,0,6,4
50040,0,0,6
45267,2,2,0
52858,0,0,1
66912,102,367,947
32460,1,5,9
68002,0,0,8
48106,12,9,6
75340,107,270,693
70603,408,938,2011
28516,0,9,6
64096,70,104,120
84982,0,2,2
35012,1,0,0
56175,14,75,386
67862,0,6,44
15128,25,29,38
60140,16,44,40
64967,0,0,2
45096,130,180,450
31962,3,3,6
49858,3,3,23
11094,21,105,423
12808,0,0,1
80249,74,178,529
63700,1,1,0
62092,0,0,1
67599,168,224,584
82166,2,1,2
65501,9,48,522
4012,0,2,8
11193,1,1,2
48201,0,1,0
43708,0,1,8
51388,0,0,2
76574,4,2,2
30228,0,1,0
14079,3,18,27
72392,2,8,19
51020,0,4,2
54975,7,12,21
41649,179,547,712
69709,90,150,165
62401,2,4,10
12517,1,6,9
39914,6,12,18
12715,1,2,0
61058,0,2,1
410,0,0,14
19931,0,0,1
59262,18,38,226
31320,0,0,1
76988,21,15,120
82849,1,0,6
58779,1,3,2
62588,79,114,166
52870,6,17,66
6138,0,1,0
10682,0,2,7
51703,0,1,0
50981,0,3,0
37972,9,10,16
77235,1,0,0
40491,1,1,0
35053,1,0,0
7558,2,14,18
986,31,54,206
64405,0,2,1
70297,0,5,6
75882,2,2,0
27733,4,24,4
44095,7,20,36
51228,2,13,31
62381,3,0,0
2269,3,5,5
34083,0,15,37
37851,0,0,3
68400,2,2,0
63884,0,0,1
11849,10,24,58
14984,1,2,5
82783,11,18,58
72992,8,43,128
56343,198,418,640
14742,34,72,122
23426,17,44,186
25559,0,3,0
32559,0,0,4
53174,0,0,2
83733,2,0,4
77441,0,3,3
56836,4,5,44
17336,12,54,360
9852,0,0,2
30688,1,4,36
73550,5,35,381
4747,19,279,459
18653,4,2,18
3809,3,7,16
11445,0,0,1
9594,2,0,6
64177,3,0,0
50569,1,12,9
70460,6,15,39
6179,0,1,6
14267,1,0,1
29278,0,0,2
34713,34,256,222
8290,12,9,18
22016,0,6,24
1628,12,60,180
26216,0,2,2
48659,0,0,1
31885,8,20,59
30905,8,30,132
62667,48,69,81
13546,12,16,24
26684,60,122,342
28706,4,12,8
68815,0,1,8
28111,1,1,2
66375,2,9,20
21617,6,5,13
82060,1,2,4
52141,0,4,30
16349,0,6,3
58229,6,3,0
10360,18,36,20
44316,3,11,20
33378,3,34,60
44168,3,3,3
63213,0,12,4
3613,6,13,57
5635,2,6,4
82486,6,2,14
27266,5,7,31
42099,5,32,260
69920,4,21,44
2182,0,0,2
2222,0,1,0
10270,39,34,26
70049,6,14,35
59310,0,17,27
14943,0,0,1
21434,0,3,6
44253,0,0,2
51283,0,0,1
33937,3,4,4
1826,0,0,6
59655,0,12,12
53,0,2,2
80631,72,117,162
39115,6,1,57
5848,31,26,27
24227,4,40,130
39539,8,4,0
75792,2,1,2
71592,2,11,41
69842,0,16,20
81039,27,153,243
35270,63,154,259
10585,15,30,20
2327,0,2,4
80721,0,0,3
13544,11,43,105
642,0,4,12
56207,127,168,275
50021,0,1,1
4838,10,50,90
30365,6,6,12
15604,4,2,2
36689,6,2,0
31010,24,88,192
21748,12,6,36
33951,0,6,3
61941,1,0,5
19117,6,24,40
42458,8,13,82
34572,0,0,2
81223,0,1,1
17815,64,165,344
42736,2,2,0
4400,128,408,984
6515,6,10,46
4792,0,0,2
31012,6,22,48
44964,5,23,48
15088,2,2,6
16080,1,0,0
76845,10,8,23
79282,3,6,0
27638,0,2,2
48206,7,14,31
77772,0,0,3
43894,198,210,210
71370,0,0,4
34348,4,4,8
47021,0,2,8
57095,0,1,0
22483,2,3,16
41439,1,0,2
23144,0,2,0
32814,110,255,270
33750,0,1,0
79202,21,21,22
50563,10,40,20
34851,0,0,2
76514,2,10,10
6708,36,44,126
75381,1,2,6
12018,0,0,20
26847,1,0,0
52700,2,6,10
43711,0,0,1
46585,0,0,2
53466,8,60,168
32987,0,0,1
22266,52,148,300
63717,0,0,2
38227,3,0,3
49755,42,48,77
68754,119,225,383
76314,12,48,108
10857,2,5,9
73934,2,12,16
61480,0,1,2
74261,0,1,0
82374,3,15,9
71473,5,18,22
65087,2,6,16
73927,3,13,15
59463,1,2,2
5821,15,12,24
4831,184,248,388
36771,3,0,5
53789,2,8,6
73197,9,27,96
43720,0,2,0
67984,5,15,20
19996,91,154,349
67830,42,182,931
201,10,25,55
71503,1,0,1
40346,2,4,4
20846,66,168,1020
68496,16,68,248
47865,44,52,196
64956,27,297,657
2678,1,0,0
51856,10,20,28
37596,3,3,3
64097,70,104,120
27207,0,3,0
60204,5,14,58
72494,21,64,257
55989,0,2,0
31712,1,5,2
27329,0,9,15
72225,0,0,1
4524,0,0,1
20734,20,48,136
82504,0,0,22
24075,0,6,30
439,1,1,0
47343,8,113,99
52583,0,4,0
70543,2,8,19
50229,26,24,224
58694,24,8,8
49994,25,60,115
18413,2,4,6
25052,0,0,1
55922,7,9,8
30363,0,0,4
43062,40,92,1156
68071,0,0,3
47881,11,13,49
12069,16,24,34
1691,1,4,4
46349,12,33,9
35556,4,13,18
23839,0,3,0
1876,0,8,0
72665,0,2,4
54887,1,3,6
28149,4,21,35
68460,6,30,18
38392,0,2,0
78256,2,0,0
62684,3,13,42
7545,0,1,0
35815,2,0,0
32110,0,2,2
78012,3,6,6
50139,0,0,1
78810,0,8,54
80558,4,1,2
44457,7,16,38
22604,143,192,281
5444,16,16,36
60656,0,2,4
33157,4,4,8
29026,0,24,20
64522,1,0,0
30012,0,2,13
62235,2,4,10
71724,0,6,14
8994,8,7,4
76799,1,0,1
30267,0,0,1
83885,364,1400,1411
74888,32,62,52
34336,0,16,52
14657,0,20,8
28908,0,6,0
23667,16,28,52
11464,8,7,17
27293,36,42,129
43407,329,812,1211
25604,420,720,760
51102,260,710,1820
61686,126,297,567
16860,234,492,360
36645,8,4,15
35996,0,0,1
6878,7,17,96
3459,6,3,0
27707,7,0,63
21793,1,0,0
7752,12,30,142
33943,15,30,65
60603,0,0,1
50068,1,0,0
33872,0,0,1
24746,0,0,1
69802,0,0,1
44624,0,8,8
69921,1,13,9
48893,10,19,11
50023,0,2,0
8892,15,76,121
18403,2,2,0
