STYLE,MOVIE_ID
Horror,0
冒险片,1
奇幻,1
剧情片,2
悬疑,2
剧情片,3
喜剧,3
奇幻,3
Documentary,4
剧情片,5
特殊兴趣,5
Featured Categories,6
Featured Categories,7
Featured Categories,8
喜剧,9
冒险片,10
儿童,10
特殊兴趣,10
动作片,10
剧情片,11
恐怖内容,11
科幻,11
动作片,11
冒险片,12
剧情片,12
国际,12
动作片,12
剧情片,13
喜剧,13
爱情,13
Featured Categories,14
喜剧,15
Featured Categories,16
Featured Categories,17
特殊兴趣,18
纪录片,18
儿童,18
Featured Categories,19
Mystery,20
Thrillers,20
Featured Categories,21
剧情片,22
纪录片,22
动作片,22
Documentary,23
奇幻,24
国际,24
Featured Categories,25
Featured Categories,26
Featured Categories,27
Featured Categories,28
特殊兴趣,29
纪录片,29
儿童,29
Drama,30
恐怖内容,31
纪录片,32
特殊兴趣,32
文化,33
娱乐,33
纪录片,33
特殊兴趣,33
艺术,33
Featured Categories,34
Featured Categories,36
Featured Categories,37
Featured Categories,38
喜剧,39
纪录片,40
科幻,40
Featured Categories,41
Featured Categories,42
冒险片,43
特殊兴趣,43
动作片,43
冒险片,44
特殊兴趣,44
动作片,44
冒险片,45
特殊兴趣,45
动作片,45
动作片,46
特殊兴趣,46
冒险片,46
剧情片,47
纪录片,47
艺术电影院,47
动作片,47
动作片,48
剧情片,48
Documentary,49
剧情片,50
Comedy,50
喜剧,50
Westerns,51
Anime,52
剧情片,53
动作片,53
Drama,54
乡村摇滚乐,55
Action,56
Adventure,56
Comedy,57
Comedy,58
Comedy,59
Comedy,60
Featured Categories,62
喜剧,62
Adventure,62
Action,62
动作片,62
Featured Categories,63
Drama,64
Drama,65
Featured Categories,66
Drama,67
Comedy,68
Featured Categories,69
Drama,69
特殊兴趣,70
运动,70
Westerns,71
Action,72
Adventure,72
纪录片,73
特殊兴趣,73
Featured Categories,74
Comedy,74
Kids,76
Family,76
Featured Categories,77
Drama,77
爱情,78
Comedy,78
喜剧,78
喜剧,79
喜剧,80
纪录片,81
爱情,81
特殊兴趣,82
纪录片,82
Featured Categories,83
Drama,84
特殊兴趣,85
喜剧,85
Featured Categories,86
Comedy,87
Featured Categories,88
Comedy,88
动画,89
纪录片,89
儿童,89
艺术电影院,89
Kids,90
Family,90
电影,91
Featured Categories,92
Horror,92
Action,93
Adventure,93
Featured Categories,94
Drama,94
Drama,95
Featured Categories,97
Comedy,97
Drama,97
音乐视频,98
音乐会,98
剧情片,99
艺术电影院,99
文化,100
娱乐,100
艺术,100
Featured Categories,101
Drama,101
Comedy,102
喜剧,102
Comedy,103
Mystery,104
Thrillers,104
Anime,105
Anime,106
Anime,107
Anime,108
Anime,109
Anime,110
Anime,111
Anime,113
Anime,114
Anime,115
Action,115
Adventure,115
Action,116
Adventure,116
Anime,117
Anime,118
Anime,119
Anime,120
Anime,121
Anime,122
Anime,123
剧情片,124
喜剧,124
Featured Categories,125
Drama,125
Adventure,125
Action,125
Documentary,126
Documentary,127
Action,128
Adventure,128
艺术电影院,129
剧情片,129
Featured Categories,130
非主流工业,132
Drama,133
爱情,134
