MOVIE_ID,YEAR,MONTH,DAY,SEASON,WEEKDAY,TIME
0,2010,7,5,summer,Monday,2010-07-05
1,2007,10,7,autumn,Sunday,2007-10-07
2,2010,12,30,winter,Thursday,2010-12-30
3,2008,6,1,summer,Sunday,2008-06-01
4,2012,5,27,spring,Sunday,2012-05-27
5,2011,12,20,winter,Tuesday,2011-12-20
6,1999,11,29,autumn,Monday,1999-11-29
7,2006,9,29,autumn,Friday,2006-09-29
8,2006,12,7,winter,Thursday,2006-12-07
9,2007,12,19,winter,Wednesday,2007-12-19
10,2012,2,25,winter,Saturday,2012-02-25
11,2009,3,25,spring,Wednesday,2009-03-25
12,2008,1,22,winter,Tuesday,2008-01-22
13,2011,12,16,winter,Friday,2011-12-16
14,2008,8,2,summer,Saturday,2008-08-02
15,2009,12,24,winter,Thursday,2009-12-24
16,2006,9,29,autumn,Friday,2006-09-29
17,2000,12,12,winter,Tuesday,2000-12-12
18,2012,5,10,spring,Thursday,2012-05-10
19,2002,12,21,winter,Saturday,2002-12-21
20,2011,5,3,spring,Tuesday,2011-05-03
21,2006,10,25,autumn,Wednesday,2006-10-25
22,2011,12,19,winter,Monday,2011-12-19
23,2009,6,23,summer,Tuesday,2009-06-23
24,2008,12,4,winter,Thursday,2008-12-04
25,2006,9,29,autumn,Friday,2006-09-29
26,2007,2,9,winter,Friday,2007-02-09
27,2007,2,9,winter,Friday,2007-02-09
28,2007,2,9,winter,Friday,2007-02-09
29,2012,1,28,winter,Saturday,2012-01-28
30,2006,4,25,spring,Tuesday,2006-04-25
31,2008,5,19,spring,Monday,2008-05-19
32,2010,1,14,winter,Thursday,2010-01-14
33,2012,3,13,spring,Tuesday,2012-03-13
34,2011,1,16,winter,Sunday,2011-01-16
35,2006,9,28,autumn,Thursday,2006-09-28
36,2006,9,29,autumn,Friday,2006-09-29
37,2007,1,19,winter,Friday,2007-01-19
38,2007,1,19,winter,Friday,2007-01-19
39,2011,8,16,summer,Tuesday,2011-08-16
40,2009,8,16,summer,Sunday,2009-08-16
41,2006,9,29,autumn,Friday,2006-09-29
42,2002,1,17,winter,Thursday,2002-01-17
43,2011,2,22,winter,Tuesday,2011-02-22
44,2010,5,11,spring,Tuesday,2010-05-11
45,2012,9,4,autumn,Tuesday,2012-09-04
46,2011,2,22,winter,Tuesday,2011-02-22
47,2012,6,16,summer,Saturday,2012-06-16
48,2000,3,27,spring,Monday,2000-03-27
49,2008,2,19,winter,Tuesday,2008-02-19
50,2010,3,22,spring,Monday,2010-03-22
51,2010,6,30,summer,Wednesday,2010-06-30
52,2010,2,23,winter,Tuesday,2010-02-23
53,2006,10,19,autumn,Thursday,2006-10-19
54,2002,4,16,spring,Tuesday,2002-04-16
55,2006,10,1,autumn,Sunday,2006-10-01
56,2000,1,29,winter,Saturday,2000-01-29
57,2003,11,10,autumn,Monday,2003-11-10
58,2005,2,22,winter,Tuesday,2005-02-22
59,2006,4,5,spring,Wednesday,2006-04-05
60,2006,7,25,summer,Tuesday,2006-07-25
61,2002,12,25,winter,Wednesday,2002-12-25
62,1999,7,9,summer,Friday,1999-07-09
63,2006,9,29,autumn,Friday,2006-09-29
64,2001,3,20,spring,Tuesday,2001-03-20
65,2001,3,20,spring,Tuesday,2001-03-20
66,2006,6,27,summer,Tuesday,2006-06-27
67,2009,2,24,winter,Tuesday,2009-02-24
68,2001,2,20,winter,Tuesday,2001-02-20
69,2009,7,14,summer,Tuesday,2009-07-14
70,2012,3,31,spring,Saturday,2012-03-31
71,2010,6,14,summer,Monday,2010-06-14
72,2004,5,25,spring,Tuesday,2004-05-25
73,2012,8,5,summer,Sunday,2012-08-05
74,2000,4,19,spring,Wednesday,2000-04-19
75,2012,7,2,summer,Monday,2012-07-02
76,2006,6,9,summer,Friday,2006-06-09
77,2006,12,7,winter,Thursday,2006-12-07
78,2009,4,25,spring,Saturday,2009-04-25
79,2011,1,4,winter,Tuesday,2011-01-04
80,2012,3,3,spring,Saturday,2012-03-03
81,2012,7,20,summer,Friday,2012-07-20
82,2011,4,11,spring,Monday,2011-04-11
83,2007,2,9,winter,Friday,2007-02-09
84,2009,9,8,autumn,Tuesday,2009-09-08
85,1999,12,8,winter,Wednesday,1999-12-08
86,2002,10,13,autumn,Sunday,2002-10-13
87,2009,11,29,autumn,Sunday,2009-11-29
88,1999,3,16,spring,Tuesday,1999-03-16
89,2007,9,16,autumn,Sunday,2007-09-16
90,2012,8,21,summer,Tuesday,2012-08-21
91,2011,7,18,summer,Monday,2011-07-18
92,2002,4,30,spring,Tuesday,2002-04-30
93,2020,7,6,summer,Monday,2020-07-06
94,2000,7,13,summer,Thursday,2000-07-13
95,2000,7,18,summer,Tuesday,2000-07-18
96,2000,7,13,summer,Thursday,2000-07-13
97,2000,11,14,autumn,Tuesday,2000-11-14
98,2010,6,30,summer,Wednesday,2010-06-30
99,2009,7,2,summer,Thursday,2009-07-02
100,2007,1,9,winter,Tuesday,2007-01-09
101,2000,6,19,summer,Monday,2000-06-19
102,2005,4,13,spring,Wednesday,2005-04-13
103,2007,4,1,spring,Sunday,2007-04-01
104,2003,3,25,spring,Tuesday,2003-03-25
105,2006,9,21,autumn,Thursday,2006-09-21
106,2007,3,16,spring,Friday,2007-03-16
107,2008,10,7,autumn,Tuesday,2008-10-07
108,2003,5,14,spring,Wednesday,2003-05-14
109,2003,7,8,summer,Tuesday,2003-07-08
110,2003,1,30,winter,Thursday,2003-01-30
111,2003,7,17,summer,Thursday,2003-07-17
112,2003,4,13,spring,Sunday,2003-04-13
113,2003,12,29,winter,Monday,2003-12-29
114,2004,10,19,autumn,Tuesday,2004-10-19
115,2003,11,14,autumn,Friday,2003-11-14
116,2003,11,14,autumn,Friday,2003-11-14
117,2003,1,30,winter,Thursday,2003-01-30
118,2003,4,13,spring,Sunday,2003-04-13
119,2004,10,19,autumn,Tuesday,2004-10-19
120,2007,8,28,summer,Tuesday,2007-08-28
121,2010,11,7,autumn,Sunday,2010-11-07
122,2007,7,5,summer,Thursday,2007-07-05
123,2009,6,13,summer,Saturday,2009-06-13
124,2012,9,2,autumn,Sunday,2012-09-02
125,1999,1,30,winter,Saturday,1999-01-30
